Model,Weight
rra_MLP,0.014063206202412824
mean_rank_MLP,0.014063206202412824
all_features_MLP,0.01397628898237319
mean_weight_MLP,0.01397628898237319
mean_rank_Gradient Boosting,0.013941522094357338
medrank_MLP,0.013906755206341484
mean_weight_Bagging,0.013889371762333557
mean_weight_Gradient Boosting,0.013889371762333557
all_features_Gradient Boosting,0.013871988318325628
rra_Gradient Boosting,0.013871988318325628
rra_Random Forest,0.013854604874317703
mean_rank_Random Forest,0.013854604874317703
rra_Extra Trees Ensemble,0.013819837986301849
mean_rank_Bagging,0.013767687654278068
medrank_Gradient Boosting,0.013750304210270141
medrank_Random Forest,0.013732920766262213
mean_weight_Random Forest,0.013732920766262213
medrank_Extra Trees Ensemble,0.01369815387824636
all_features_Random Forest,0.01369815387824636
mean_rank_Extra Trees Ensemble,0.013680770434238433
rra_Bagging,0.013663386990230507
all_features_Extra Trees Ensemble,0.013663386990230507
mean_rank_AdaBoost,0.01364600354622258
all_features_AdaBoost,0.013628620102214653
mean_weight_AdaBoost,0.013611236658206726
rra_AdaBoost,0.013611236658206726
all_features_Bagging,0.0135938532141988
all_features_LDA,0.013559086326182945
mean_weight_Extra Trees Ensemble,0.013559086326182945
rra_LDA,0.013524319438167091
medrank_AdaBoost,0.013524319438167091
all_features_DTC,0.013489552550151239
mean_rank_LDA,0.013489552550151239
medrank_Bagging,0.013454785662135385
threshold_algorithm_MLP,0.013420018774119531
mean_weight_DTC,0.013402635330111604
mean_rank_KNN,0.013385251886103677
mean_weight_LDA,0.01336786844209575
rra_DTC,0.013350484998087823
medrank_LDA,0.013333101554079897
mean_rank_DTC,0.013263567778048189
rra_KNN,0.013211417446024408
mean_weight_KNN,0.013141883669992702
threshold_algorithm_Gradient Boosting,0.013124500225984773
all_features_KNN,0.01303758300594514
medrank_DTC,0.012968049229913433
medrank_KNN,0.012950665785905506
threshold_algorithm_Random Forest,0.012776831345826236
threshold_algorithm_LDA,0.012637763793762823
rra_ETC,0.012637763793762823
medrank_ETC,0.012602996905746969
threshold_algorithm_AdaBoost,0.012568230017731115
threshold_algorithm_Extra Trees Ensemble,0.012550846573723188
threshold_algorithm_Bagging,0.01248131279769148
mean_rank_ETC,0.0124291624656677
mean_weight_QDA,0.012272711469596359
rra_QDA,0.012255328025588432
medrank_QDA,0.012220561137572578
mean_rank_QDA,0.01215102736154087
threshold_algorithm_KNN,0.012116260473525016
all_features_ETC,0.012098877029517091
mean_weight_ETC,0.0119771929214616
threshold_algorithm_DTC,0.011838125369398187
medrank_GNB,0.011785975037374408
mean_rank_GNB,0.01176859159336648
rra_GNB,0.011699057817334773
mean_weight_GNB,0.011699057817334773
all_features_GNB,0.011629524041303064
threshold_algorithm_GNB,0.011281855161144527
medrank_BNB,0.01116017105308904
mean_rank_BNB,0.011073253833049405
all_features_BNB,0.011021103501025625
rra_BNB,0.011021103501025625
mean_weight_BNB,0.010968953169001844
threshold_algorithm_ETC,0.010951569724993919
threshold_algorithm_BNB,0.01027361540868477
threshold_algorithm_QDA,0.009856412752494525
all_features_QDA,0.00717936237527379
