Feature,Rank,Rank_x,Rank_x,Rank_x,Rank_x,MeanRank,RankedPosition
AtrialRate,34,4,1,1,2,3.8823529411764706,1
VentricularRate,10,23,2,2,1,7.176470588235294,2
V3_q25,55,21,3,9,7,12.647058823529411,3
V5_q25,61,16,7,18,5,14.411764705882353,4
V4_q25,153,18,4,11,9,18.88235294117647,5
V2_q25,117,25,5,19,4,19.352941176470587,6
II_median,14,19,22,7,33,19.88235294117647,7
V5_iqr,63,11,25,25,11,20.647058823529413,8
V1_iqr,26,47,8,17,14,21.764705882352942,9
QTInterval,99,53,10,5,3,22.529411764705884,10
V6_q25,67,24,14,30,12,22.764705882352942,11
aVR_median,2,42,28,3,37,26.0,12
aVF_median,23,10,35,14,48,26.529411764705884,13
aVL_q25,20,40,12,20,39,27.294117647058822,14
V1_q75,51,49,13,13,30,27.705882352941178,15
V1_q25,86,81,6,4,13,29.529411764705884,16
V2_median,52,9,16,36,61,31.764705882352942,17
V3_std,92,32,26,38,18,32.23529411764706,18
III_q25,107,51,11,21,34,33.8235294117647,19
V5_q75,62,13,44,35,43,35.411764705882355,20
V4_min,95,33,30,48,16,35.470588235294116,21
V6_median,32,3,27,31,92,37.88235294117647,22
V4_iqr,125,15,43,47,25,37.94117647058823,23
V6_iqr,130,14,39,54,22,38.0,24
V3_mean,150,59,31,28,15,40.11764705882353,25
V3_median,53,6,21,46,85,40.294117647058826,26
III_median,41,5,46,33,84,41.94117647058823,27
aVF_q25,143,83,9,16,35,42.05882352941177,28
PatientAge,33,139,24,8,6,43.588235294117645,29
V3_rms,122,37,52,45,21,43.64705882352941,30
III_iqr,137,64,15,34,42,44.529411764705884,31
V2_mean,116,72,32,37,20,44.705882352941174,32
V1_kurtosis,87,134,18,15,8,46.294117647058826,33
V1_median,114,7,20,23,119,46.470588235294116,34
V3_min,119,54,48,44,23,46.76470588235294,35
V6_q75,129,12,59,51,50,48.05882352941177,36
aVL_iqr,111,52,19,57,49,48.1764705882353,37
V5_std,126,62,37,49,27,48.588235294117645,38
QTCorrected,163,91,41,24,10,48.64705882352941,39
V6_std,66,39,55,70,28,49.05882352941177,40
V5_energy,65,45,50,53,51,50.64705882352941,41
V4_std,8,43,58,87,29,51.529411764705884,42
V3_energy,123,29,51,43,67,51.94117647058823,43
V6_rms,160,41,62,50,31,52.705882352941174,44
II_q25,104,109,17,32,45,53.88235294117647,45
V6_energy,161,27,61,56,47,54.411764705882355,46
V4_rms,9,50,53,94,36,55.35294117647059,47
aVR_q75,3,118,29,29,62,56.1764705882353,48
V4_energy,58,26,54,100,53,58.23529411764706,49
I_median,100,20,67,22,117,59.05882352941177,50
V5_rms,64,65,49,93,32,60.0,51
V5_median,59,1,42,55,145,60.64705882352941,52
