Feature,Rank,Rank_x,Rank_x,Rank_x,Rank_x,RRA_pvalue,RankedPosition
aVR_std,0.006134969325153374,5.383109065383598e-08,1.402441572297306e-07,1.0057914306374617e-07,2.0115828612749234e-07,0.006134969325153374,1
aVR_median,0.012269938650306749,5.949752124897661e-08,3.9665014165984414e-08,4.249822946355473e-09,5.241448300505082e-08,0.012269938650306749,2
aVR_q75,0.018404907975460124,1.6715970255664859e-07,4.108162181476956e-08,4.108162181476956e-08,8.782967422467976e-08,0.018404907975460124,3
aVR_rms,0.024539877300613498,4.958126770748052e-08,1.4874380312244152e-07,1.0199575071253134e-07,2.0824132437141818e-07,0.024539877300613498,4
aVF_mean,0.03067484662576687,7.791342068318367e-08,1.3032790368823449e-07,2.1815757791291423e-07,2.153243626153439e-07,0.03067484662576687,5
V2_std,0.03680981595092025,1.1049539660524229e-07,1.034123583613165e-07,1.827423866932853e-07,9.066288952225008e-08,0.03680981595092025,6
V2_rms,0.04294478527607362,1.0482896601010164e-07,1.1191200425402744e-07,1.9407524788356658e-07,8.924628187346492e-08,0.04294478527607362,7
V4_std,0.049079754601226995,6.091412889776176e-08,8.216324362953912e-08,1.2324486544430873e-07,4.108162181476956e-08,0.049079754601226995,8
V4_rms,0.05521472392638037,7.083038243925787e-08,7.508020538561333e-08,1.331611189858048e-07,5.099787535626567e-08,0.05521472392638037,9
VentricularRate,0.06134969325153374,3.258197592205862e-08,2.833215297570315e-09,2.833215297570315e-09,1.4166076487851575e-09,0.06134969325153374,10
I_energy,0.06748466257668712,1.4307737252730088e-07,2.1674097026412908e-07,1.7424274080057435e-07,1.7849256374692984e-07,0.06748466257668712,11
II_mean,0.0736196319018405,6.799716714168756e-08,1.062455736588868e-07,1.5866005666393765e-07,1.8840881728842592e-07,0.0736196319018405,12
II_std,0.07975460122699386,1.133286119028126e-07,2.054081090738478e-07,2.1107453966898847e-07,1.4732719547365638e-07,0.07975460122699386,13
II_median,0.08588957055214724,2.691554532691799e-08,3.116536827327346e-08,9.916253541496103e-09,4.67480524099102e-08,0.08588957055214724,14
III_range,0.09202453987730061,1.7424274080057435e-07,1.5724344901515245e-07,1.8415899434207045e-07,1.5724344901515245e-07,0.09202453987730061,15
aVR_iqr,0.09815950920245399,6.516395184411724e-08,1.2749468839066417e-07,1.4166076487851574e-08,1.9690846318113687e-07,0.09815950920245399,16
aVR_energy,0.10429447852760736,4.816466005869536e-08,1.4732719547365638e-07,1.133286119028126e-07,1.6715970255664859e-07,0.10429447852760736,17
aVL_mean,0.11042944785276074,1.0057914306374617e-07,1.1899504249795322e-07,1.9974167847870722e-07,1.7565934844935952e-07,0.11042944785276074,18
aVL_max,0.1165644171779141,2.2099079321048458e-07,2.2807383145441034e-07,1.9832507082992207e-07,2.3090704675198066e-07,0.1165644171779141,19
aVL_q25,0.12269938650306748,5.66643059514063e-08,1.699929178542189e-08,2.833215297570315e-08,5.5247698302621144e-08,0.12269938650306748,20
aVL_energy,0.12883435582822086,1.3599433428337512e-07,1.5866005666393765e-07,1.79909171395715e-07,1.3882754958094544e-07,0.12883435582822086,21
aVF_max,0.13496932515337423,2.1815757791291423e-07,2.139077549665588e-07,2.054081090738478e-07,2.2524061615684007e-07,0.13496932515337423,22
aVF_median,0.1411042944785276,1.4166076487851574e-08,4.958126770748052e-08,1.9832507082992207e-08,6.799716714168756e-08,0.1411042944785276,23
aVF_energy,0.147239263803681,1.0766218130767196e-07,1.7565934844935952e-07,2.153243626153439e-07,1.2891129603944934e-07,0.147239263803681,24
V1_std,0.15337423312883436,1.4732719547365638e-07,2.06824716722633e-07,1.161618272003829e-07,1.7140952550300405e-07,0.15337423312883436,25
V1_iqr,0.15950920245398773,6.65805594929024e-08,1.133286119028126e-08,2.408233002934768e-08,1.9832507082992207e-08,0.15950920245398773,26
V1_rms,0.1656441717791411,1.402441572297306e-07,1.6857631020543376e-07,1.2041165014673838e-07,1.6149327196150795e-07,0.1656441717791411,27
V1_energy,0.17177914110429449,1.331611189858048e-07,1.6432648725907824e-07,8.782967422467976e-08,1.6290987961029312e-07,0.17177914110429449,28
V2_energy,0.17791411042944785,9.916253541496104e-08,1.133286119028126e-07,1.8840881728842592e-07,1.1474521955159774e-07,0.17791411042944785,29
V4_max,0.18404907975460122,1.6290987961029312e-07,1.8840881728842592e-07,1.7140952550300405e-07,2.2807383145441034e-07,0.18404907975460122,30
V5_mean,0.1901840490797546,8.499645892710944e-08,1.6574309490786344e-07,1.2607808074187902e-07,2.139077549665588e-07,0.1901840490797546,31
V6_median,0.19631901840490798,4.249822946355473e-09,3.824840651719925e-08,4.391483711233988e-08,1.3032790368823449e-07,0.19631901840490798,32
PatientAge,0.20245398773006135,1.9690846318113687e-07,3.399858357084378e-08,1.133286119028126e-08,8.499645892710945e-09,0.20245398773006135,33
AtrialRate,0.2085889570552147,5.66643059514063e-09,1.4166076487851575e-09,1.4166076487851575e-09,2.833215297570315e-09,0.2085889570552147,34
QRSDuration,0.2147239263803681,9.34961048198204e-08,2.039915014250627e-07,1.5724344901515245e-07,1.6432648725907824e-07,0.2147239263803681,35
I_mean,0.22085889570552147,9.491271246860556e-08,1.161618272003829e-07,9.066288952225008e-08,1.4307737252730088e-07,0.22085889570552147,36
I_rms,0.22699386503067484,1.5016041077122667e-07,2.1815757791291423e-07,1.869922096396408e-07,1.9974167847870722e-07,0.22699386503067484,37
II_rms,0.2331288343558282,1.1191200425402744e-07,1.7140952550300405e-07,1.3882754958094544e-07,1.5157701842001184e-07,0.2331288343558282,38
III_mean,0.2392638036809816,7.933002833196883e-08,1.9407524788356658e-07,2.0824132437141818e-07,2.2099079321048458e-07,0.2392638036809816,39
III_std,0.24539877300613497,1.2607808074187902e-07,1.4166076487851574e-07,2.266572238056252e-07,1.0057914306374617e-07,0.24539877300613497,40
III_median,0.25153374233128833,7.083038243925787e-09,6.516395184411724e-08,4.67480524099102e-08,1.1899504249795322e-07,0.25153374233128833,41
aVR_mean,0.25766871165644173,6.233073654654692e-08,1.1757843484916806e-07,1.3032790368823449e-07,1.5441023371758216e-07,0.25766871165644173,42
aVR_skew,0.26380368098159507,1.9407524788356658e-07,1.3741094193216027e-07,1.5016041077122667e-07,9.632932011739072e-08,0.26380368098159507,43
aVL_std,0.26993865030674846,1.7140952550300405e-07,1.827423866932853e-07,2.1674097026412908e-07,1.2324486544430873e-07,0.26993865030674846,44
aVL_min,0.27607361963190186,1.6149327196150795e-07,1.9690846318113687e-07,1.8132577904450016e-07,1.402441572297306e-07,0.27607361963190186,45
aVL_median,0.2822085889570552,1.133286119028126e-08,1.0057914306374617e-07,1.1049539660524229e-07,2.025748937762775e-07,0.2822085889570552,46
aVL_q75,0.2883435582822086,1.3882754958094544e-07,4.67480524099102e-08,1.0766218130767196e-07,1.0199575071253134e-07,0.2883435582822086,47
aVF_std,0.294478527607362,1.4449398017608608e-07,1.52993626068797e-07,2.2382400850805487e-07,1.1757843484916806e-07,0.294478527607362,48
V1_mean,0.3006134969325153,2.408233002934768e-08,1.2607808074187902e-07,8.641306657589461e-08,2.1107453966898847e-07,0.3006134969325153,49
V1_range,0.3067484662576687,1.8415899434207045e-07,2.224074008592697e-07,1.0482896601010164e-07,2.266572238056252e-07,0.3067484662576687,50
V1_q75,0.3128834355828221,6.941377479047272e-08,1.8415899434207047e-08,1.8415899434207047e-08,4.249822946355472e-08,0.3128834355828221,51
V2_median,0.31901840490797545,1.2749468839066418e-08,2.266572238056252e-08,5.099787535626567e-08,8.641306657589461e-08,0.31901840490797545,52
V3_median,0.32515337423312884,8.499645892710945e-09,2.9748760624488305e-08,6.516395184411724e-08,1.2041165014673838e-07,0.32515337423312884,53
V3_range,0.3312883435582822,1.2466147309309385e-07,9.774592776617585e-08,1.7849256374692984e-07,7.791342068318367e-08,0.3312883435582822,54
V3_q25,0.3374233128834356,2.9748760624488305e-08,4.249822946355473e-09,1.2749468839066418e-08,9.916253541496103e-09,0.3374233128834356,55
V3_kurtosis,0.34355828220858897,1.9265864023478144e-07,1.5157701842001184e-07,1.1899504249795322e-07,1.2607808074187902e-07,0.34355828220858897,56
V4_kurtosis,0.3496932515337423,2.153243626153439e-07,9.066288952225008e-08,8.216324362953912e-08,3.6831798868414094e-08,0.3496932515337423,57
V4_energy,0.3558282208588957,3.6831798868414094e-08,7.64968130343985e-08,1.4166076487851574e-07,7.508020538561333e-08,0.3558282208588957,58
V5_median,0.3619631901840491,1.4166076487851575e-09,5.949752124897661e-08,7.791342068318367e-08,2.054081090738478e-07,0.3619631901840491,59
V5_range,0.36809815950920244,1.2182825779552353e-07,1.2182825779552353e-07,1.5441023371758216e-07,1.0907878895645712e-07,0.36809815950920244,60
V5_q25,0.37423312883435583,2.266572238056252e-08,9.916253541496103e-09,2.5498937678132836e-08,7.083038243925787e-09,0.37423312883435583,61
V5_q75,0.3803680981595092,1.8415899434207047e-08,6.233073654654692e-08,4.958126770748052e-08,6.091412889776176e-08,0.3803680981595092,62
