Feature,Score,Score_x,Score_x,Score_x,Score_x,MeanScore,RankedPosition
aVL_max,141.0,156.0,161.0,140.0,163.0,154.1764705882353,1
Gender,16.5,163.0,163.0,163.0,162.0,154.14705882352942,2
aVF_max,141.0,154.0,151.0,145.0,159.0,151.58823529411765,3
V2_skew,16.5,161.0,158.0,136.0,155.0,144.5,4
III_max,80.5,146.0,160.0,150.0,134.0,143.55882352941177,5
II_range,48.5,127.0,147.0,157.0,158.0,141.44117647058823,6
II_max,80.5,141.0,136.0,162.0,140.0,140.97058823529412,7
I_range,80.5,144.0,149.0,125.0,153.0,139.08823529411765,8
III_min,16.5,126.0,162.0,151.0,129.0,134.61764705882354,9
aVL_range,16.5,138.0,140.0,159.0,128.0,133.91176470588235,10
I_std,80.5,107.0,150.0,155.0,137.0,133.91176470588235,11
V4_max,141.0,115.0,133.0,121.0,161.0,133.0,12
I_rms,112.5,106.0,154.0,132.0,141.0,132.02941176470588,13
V1_range,112.5,130.0,157.0,74.0,160.0,129.2058823529412,14
aVF_range,80.5,132.0,138.0,120.0,130.0,127.08823529411765,15
I_energy,141.0,101.0,153.0,123.0,126.0,126.6470588235294,16
V3_max,80.5,117.0,110.0,131.0,157.0,125.91176470588235,17
aVR_max,16.5,125.0,155.0,115.0,136.0,125.91176470588235,18
V2_range,16.5,124.0,152.0,143.0,105.0,124.26470588235294,19
III_skew,48.5,119.0,85.0,156.0,154.0,123.79411764705883,20
III_mean,112.5,56.0,137.0,147.0,156.0,123.32352941176471,21
aVL_skew,80.5,140.0,103.0,139.0,122.0,123.32352941176471,22
I_min,80.5,116.0,125.0,134.0,123.0,121.91176470588235,23
aVL_std,112.5,121.0,129.0,153.0,87.0,121.91176470588235,24
V2_q75,80.5,113.0,156.0,118.0,110.0,121.67647058823529,25
I_max,80.5,148.0,159.0,75.0,112.0,120.97058823529412,26
II_std,141.0,80.0,145.0,149.0,104.0,120.76470588235294,27
V5_max,48.5,111.0,148.0,114.0,127.0,120.5,28
III_range,141.0,123.0,111.0,130.0,111.0,120.05882352941177,29
aVL_min,112.5,114.0,139.0,128.0,99.0,119.55882352941177,30
aVR_min,80.5,122.0,135.0,124.0,95.0,116.73529411764706,31
V2_kurtosis,80.5,159.0,131.0,91.0,94.0,116.5,32
aVF_mean,158.5,55.0,92.0,154.0,152.0,115.91176470588235,33
V1_std,141.0,104.0,146.0,82.0,121.0,114.88235294117646,34
aVR_range,48.5,112.0,141.0,81.0,138.0,113.91176470588235,35
V2_min,80.5,110.0,106.0,148.0,100.0,113.91176470588235,36
aVF_std,112.5,102.0,108.0,158.0,83.0,112.73529411764706,37
aVF_energy,141.0,76.0,124.0,152.0,91.0,112.52941176470588,38
V1_min,80.5,131.0,132.0,63.0,132.0,112.5,39
QRSDuration,141.0,66.0,144.0,111.0,116.0,111.11764705882354,40
V6_max,48.5,97.0,142.0,113.0,108.0,111.08823529411765,41
II_min,48.5,105.0,143.0,105.0,106.0,110.8529411764706,42
aVL_energy,141.0,96.0,112.0,127.0,98.0,110.17647058823529,43
aVL_rms,16.5,120.0,109.0,144.0,88.0,109.44117647058823,44
V2_max,80.5,95.0,113.0,86.0,150.0,109.20588235294117,45
aVF_q75,80.5,129.0,120.0,68.0,125.0,108.73529411764706,46
II_energy,80.5,57.0,122.0,161.0,96.0,107.32352941176471,47
aVL_mean,141.0,71.0,84.0,141.0,124.0,107.11764705882354,48
aVF_rms,16.5,100.0,123.0,142.0,86.0,107.08823529411765,49
V3_q75,48.5,85.0,126.0,138.0,93.0,106.8529411764706,50
V1_rms,141.0,99.0,119.0,85.0,114.0,106.41176470588235,51
V5_mean,141.0,60.0,117.0,89.0,151.0,106.41176470588235,52
III_std,112.5,89.0,100.0,160.0,71.0,105.44117647058823,53
aVF_min,16.5,92.0,130.0,119.0,102.0,105.20588235294117,54
III_energy,80.5,73.0,115.0,146.0,90.0,104.5,55
V3_kurtosis,112.5,136.0,107.0,84.0,89.0,104.5,56
II_skew,48.5,151.0,96.0,104.0,74.0,102.8529411764706,57
aVR_skew,112.5,137.0,97.0,106.0,68.0,102.61764705882354,58
aVF_skew,16.5,142.0,102.0,83.0,103.0,102.1470588235294,59
II_rms,112.5,79.0,121.0,98.0,107.0,101.91176470588235,60
V1_max,48.5,82.0,118.0,96.0,120.0,100.73529411764706,61
III_rms,80.5,87.0,114.0,135.0,70.0,100.26470588235294,62
aVL_kurtosis,48.5,149.0,63.0,122.0,79.0,100.02941176470588,63
V1_energy,141.0,94.0,116.0,62.0,115.0,99.3529411764706,64
V4_range,80.5,93.0,134.0,95.0,76.0,98.38235294117646,65
II_q75,80.5,108.0,128.0,12.0,148.0,97.91176470588235,66
II_kurtosis,16.5,158.0,78.0,116.0,58.0,97.44117647058823,67
aVF_kurtosis,16.5,162.0,74.0,107.0,66.0,97.20588235294117,68
aVR_kurtosis,48.5,160.0,77.0,97.0,65.0,96.73529411764706,69
II_mean,141.0,48.0,75.0,112.0,133.0,94.88235294117646,70
V2_energy,141.0,70.0,80.0,133.0,81.0,93.94117647058823,71
aVR_rms,158.5,35.0,105.0,72.0,147.0,93.79411764705883,72
I_kurtosis,48.5,153.0,91.0,60.0,78.0,92.73529411764706,73
V2_rms,158.5,74.0,79.0,137.0,63.0,92.38235294117646,74
V6_range,80.5,77.0,101.0,110.0,82.0,91.79411764705883,75
aVR_std,158.5,38.0,99.0,71.0,142.0,91.67647058823529,76
V5_range,112.5,86.0,86.0,109.0,77.0,90.8529411764706,77
V3_skew,80.5,157.0,87.0,66.0,56.0,90.8529411764706,78
V2_std,158.5,78.0,73.0,129.0,64.0,90.26470588235294,79
V6_skew,48.5,143.0,81.0,101.0,44.0,89.67647058823529,80
V6_mean,16.5,30.0,95.0,108.0,135.0,87.55882352941177,81
aVR_energy,141.0,34.0,104.0,80.0,118.0,87.3529411764706,82
I_skew,80.5,133.0,72.0,88.0,57.0,87.08823529411765,83
V3_range,112.5,88.0,69.0,126.0,55.0,86.1470588235294,84
V6_min,16.5,75.0,98.0,99.0,80.0,83.79411764705883,85
aVR_mean,112.5,44.0,83.0,92.0,109.0,83.79411764705883,86
II_iqr,48.5,69.0,127.0,26.0,113.0,81.67647058823529,87
V1_mean,112.5,17.0,89.0,61.0,149.0,80.97058823529412,88
I_mean,112.5,67.0,82.0,64.0,101.0,80.5,89
V5_skew,16.5,135.0,68.0,90.0,40.0,79.32352941176471,90
III_kurtosis,16.5,147.0,47.0,77.0,60.0,78.8529411764706,91
aVL_median,112.5,8.0,71.0,78.0,143.0,77.20588235294117,92
V4_kurtosis,112.5,152.0,64.0,58.0,26.0,77.20588235294117,93
I_q75,16.5,58.0,88.0,27.0,146.0,76.02941176470588,94
aVR_iqr,141.0,46.0,90.0,10.0,139.0,75.3529411764706,95
aVF_iqr,16.5,84.0,76.0,79.0,75.0,74.8529411764706,96
V4_q75,48.5,31.0,93.0,103.0,69.0,72.5,97
aVL_q75,112.5,98.0,33.0,76.0,72.0,72.26470588235294,98
V1_skew,48.5,145.0,57.0,42.0,38.0,69.20588235294117,99
V4_mean,16.5,63.0,70.0,73.0,73.0,66.61764705882354,100
