Feature,Score/Rank
VentricularRate,3198.6427579386877
AtrialRate,2970.69065917099
QTInterval,1628.8869881826329
V2_q25,1043.4066771494631
V5_q25,1003.2302969257281
PatientAge,1001.9239960595798
V3_q25,964.8523012492914
V1_kurtosis,952.2353449996613
V4_q25,928.8313131942165
QTCorrected,910.606290363347
V5_iqr,863.6408939871205
V6_q25,810.5600996185188
V1_q25,784.1150942881349
V1_iqr,766.8334256141504
V3_mean,760.5962389070348
V4_min,748.9007178274699
V4_skew,746.1386109679504
V3_std,742.2778219203574
V5_kurtosis,712.7373147202732
V2_mean,701.7048005494331
V3_rms,684.9264878971575
V6_iqr,680.5706156807606
V3_min,673.4550935818162
V6_kurtosis,671.207235798753
V4_iqr,670.4097026319275
V4_kurtosis,649.4593114669511
V5_std,643.8664837628833
V6_std,633.6520340833607
V4_std,626.2791380847098
V1_q75,625.3170724814788
V6_rms,610.4326003124964
V5_rms,600.7187468539628
II_median,595.2675951216327
III_q25,571.5847300614893
aVF_q25,564.039818197865
V4_rms,563.34061779535
aVR_median,562.7352546799698
V1_skew,554.7649413905394
aVL_q25,547.823952956701
V5_skew,543.0765792066117
V3_iqr,522.885514718084
III_iqr,516.1318294562733
V5_q75,512.238463063523
V6_skew,483.6136075888734
II_q25,472.12734548493404
V2_iqr,450.35285221876546
V6_energy,441.7118456488774
aVF_median,440.62510323684774
aVL_iqr,440.5131615418792
V6_q75,439.79894341006843
V5_energy,437.1579131005475
V5_min,426.9768876155535
V4_energy,402.7380211223261
III_q75,387.4678053407965
V3_range,387.14567972740997
V3_skew,385.5124638322794
I_skew,382.4944080575545
II_kurtosis,377.4945072892828
I_q25,372.9118749314888
III_kurtosis,365.3906256710224
V2_median,359.0153438485481
aVR_q75,348.17970792914764
V2_rms,342.1343371089143
V2_std,340.5526077941037
aVR_kurtosis,336.9538226690054
aVF_kurtosis,335.3554081489751
V3_energy,324.6692862875231
aVR_skew,319.6494354645173
V4_q75,317.99561953003837
III_rms,300.51785496624217
III_std,299.934687656889
aVL_q75,295.9062008588056
V4_mean,294.5160231416571
II_skew,276.41442822213014
aVF_iqr,263.7800973485155
V4_range,262.11485538705756
V5_range,253.22570253399766
I_kurtosis,243.78132838065596
aVL_kurtosis,235.20268999634666
V6_min,231.8333318523096
V2_energy,222.46567719075108
V6_range,218.73271658609676
aVF_std,218.40847194939937
III_median,217.54333515644294
V3_median,215.3729145901856
aVF_rms,208.59610318791718
aVL_std,202.4397279210063
aVL_rms,199.2661433247699
V3_kurtosis,180.97105312724366
III_energy,180.24899008950433
aVF_energy,178.13555223876685
V6_median,164.77026758319317
V3_q75,155.67113875992396
V2_kurtosis,152.00406234868805
aVR_min,149.66788089020963
II_energy,142.09408016325025
I_iqr,135.97111981062002
aVL_energy,126.20430693685036
aVL_min,124.64547760404189
V2_min,120.4819839824912
I_mean,120.39955326643802
aVF_min,114.6693856829514
aVF_skew,110.91763374231363
II_std,107.07374126357072
V2_range,101.64291357015723
II_min,93.46779692747691
II_rms,93.15798266221721
V6_max,93.12074608607034
aVR_mean,91.85118460137527
V2_q75,87.51569118337177
III_range,87.15246918288047
I_max,84.23807180014587
II_iqr,80.87734573317898
V1_rms,77.62725171231519
V1_energy,75.32811124152049
QRSDuration,72.96546767768835
I_median,72.52620688057337
aVR_energy,72.4426794283542
V1_median,71.94351449042878
V1_max,71.11797962076038
V1_std,68.77634390166764
aVL_skew,68.72554477250968
I_min,59.86121178102477
aVL_mean,58.97133813827881
aVF_q75,57.8347674331111
I_energy,53.44743805956644
V5_max,51.318544616052115
aVL_range,50.02362786481126
III_min,46.97150952038599
aVF_range,43.914015131620964
aVR_q25,43.3364379742583
V1_min,41.150482687993865
II_mean,39.81264785096519
III_max,37.19184459172072
V6_mean,36.11343823591209
aVR_max,34.974761486393035
I_std,33.00325070844468
aVR_range,32.28476807478458
aVR_iqr,27.680193472777447
II_max,26.599352231595546
I_rms,25.794517568286764
aVR_std,24.72014059590669
aVL_median,20.53552555108942
V4_median,19.338988886793807
V5_median,18.534488048520252
I_q75,18.333357076357682
aVR_rms,17.162748021361388
II_q75,11.281881615106897
V1_mean,7.218924513181427
V2_max,6.90380780244395
V5_mean,6.195658620407245
aVF_mean,5.540504598276738
I_range,5.520566010315145
III_skew,4.667374621561237
V2_skew,4.4069980299686895
III_mean,4.396445037991754
V3_max,2.963216455378742
II_range,0.9876908088729731
aVF_max,0.8680681509090868
V1_range,0.35824704675154234
V4_max,0.11580578426686859
Gender,0.06746575239976828
aVL_max,0.05171443348242123
