Feature,Score/Rank
V5_median,1106.5811503970936
V4_median,936.4953942502625
V6_median,918.3132931100936
AtrialRate,892.9246770573571
III_median,723.784400887451
V3_median,701.931169185307
V1_median,612.4135779828458
aVL_median,559.1403017420134
V2_median,519.4756642416672
aVF_median,516.6477941144869
V5_iqr,474.7647640849695
V6_q75,411.03380782945567
V5_q75,409.7647440951413
V6_iqr,401.18959182012435
V4_iqr,380.84453281075616
V5_q25,372.116501539752
V1_mean,360.45489817284374
V4_q25,351.72727493626985
II_median,336.9706534948219
I_median,336.5546282795803
V3_q25,314.5176000590165
V3_iqr,302.9831390906095
VentricularRate,302.1846869136096
V6_q25,292.7273981815588
V2_q25,277.976924156564
V4_energy,268.054417185583
V6_energy,263.4452310606949
V2_iqr,254.16137876137424
V3_energy,246.56641375637082
V6_mean,244.38408416666869
V4_q75,240.20411090509896
V3_std,239.62167740142115
V4_min,236.50853734511588
aVR_energy,232.17125228598826
aVR_rms,229.66265993869058
I_iqr,228.88645339357475
V3_rms,227.66003259989327
aVR_std,223.1158754038197
V6_std,217.03063686281456
aVL_q25,216.5325273805189
V6_rms,216.04249604668632
aVR_median,214.0591442538707
V4_std,210.7327744594904
aVR_mean,203.49646102734536
V5_energy,202.42606433586081
aVR_iqr,202.41172180799785
V1_iqr,202.27980951204108
II_mean,201.68818420437498
V1_q75,199.60200550714643
V4_rms,194.30209137857207
III_q25,193.06942865921914
aVL_iqr,185.2448708532247
QTInterval,183.8930304100902
V3_min,182.83844544717005
aVF_mean,182.32241221763806
III_mean,181.52514464003656
II_energy,180.69088181028047
I_q75,179.36015626936572
V3_mean,178.87689424538982
V5_mean,176.6597156653787
V5_min,175.96550431443904
V5_std,175.94657113140266
V4_mean,175.44779649198466
III_iqr,171.97381686397642
V5_rms,170.30201287248522
QRSDuration,169.73472596223786
I_mean,165.65567375064074
aVR_q25,164.69349862255893
II_iqr,161.10792964460697
V2_energy,160.96277871274643
aVL_mean,157.16019744091446
V2_mean,154.0407677784397
III_energy,152.76982337430098
V2_rms,150.9102487890418
V6_min,147.96615331845902
aVF_energy,146.73051596431387
V6_range,145.26938967514116
V2_std,144.84720631074495
II_rms,144.4122258176601
II_std,140.50022424517934
V1_q25,135.7411047534569
V1_max,134.40859591991955
aVF_q25,125.94559998153557
aVF_iqr,123.32187606317177
V3_q75,118.56733529848724
V5_range,118.44425273643
III_rms,117.15468595642682
V3_range,114.4947027499793
III_std,113.1262938814494
I_q25,112.23575450050458
QTCorrected,111.51894920121156
aVF_min,109.8910866572618
V4_range,108.48938370195134
V1_energy,108.11629969107861
V2_max,106.05639414154237
aVL_energy,105.88793000306637
V6_max,104.93669520475184
aVL_q75,104.77099040246956
V1_rms,103.01828074725216
aVF_rms,101.22425180373905
I_energy,99.54865160973385
aVF_std,99.19827613017326
III_q75,95.7371157425856
V1_std,93.67285129169903
II_min,90.75884136571914
I_rms,90.28522723390664
I_std,87.49887673046949
II_q75,86.56588556604756
II_q25,86.22556249997767
V2_min,84.49691815959578
V5_max,82.54070127673357
aVR_range,78.19871057189388
V2_q75,72.59854965785624
aVL_min,69.44956594593101
V4_max,68.48646802773021
I_min,67.4702834162176
V3_max,64.99587969013648
aVR_q75,63.37228226713725
III_skew,62.29248384350858
aVL_rms,60.199959403353745
aVL_std,59.012708969597924
aVR_min,53.47955019283893
III_range,53.25944636539762
V2_range,53.1656272822118
aVR_max,49.685631014663514
III_min,47.62054413636739
II_range,40.401875917127384
V4_skew,37.91364371925409
aVF_q75,37.818064995878174
V1_range,34.51062060014555
V1_min,32.319955315860774
aVF_range,29.366550117236255
I_skew,27.39500821113236
V1_kurtosis,25.660250826737222
V5_skew,23.8887831309779
V3_kurtosis,23.68696480331311
aVR_skew,22.872015238823117
aVL_range,21.06265863007971
PatientAge,20.429331593875133
aVL_skew,18.157665333790618
II_max,15.856381178698337
aVF_skew,15.67358522146854
V6_skew,15.193875913198081
I_range,12.050077639579705
V1_skew,9.472918762582806
III_max,9.091198332704787
III_kurtosis,6.6437588809479
I_max,5.010580335539197
aVL_kurtosis,4.9398040319760295
V6_kurtosis,4.83595185009659
II_skew,4.51817032138389
V4_kurtosis,4.1062095052390495
I_kurtosis,2.920786414276018
aVF_max,2.8240287776009696
V5_kurtosis,2.506305398321688
aVL_max,2.2736463423171487
V3_skew,1.1354481464316366
II_kurtosis,0.777936965711439
V2_kurtosis,0.18053598229548104
aVR_kurtosis,0.06667395108245801
V2_skew,0.007223718603717443
aVF_kurtosis,0.0012808889219395401
Gender,0.001014137581390487
