Feature,Score/Rank
AtrialRate,0.23456615390835878
VentricularRate,0.2063376219851818
V3_q25,0.1367147110264595
V4_q25,0.13405452243395488
V2_q25,0.13289994363370417
V1_q25,0.13160361104359009
V5_q25,0.12156669601824777
V1_iqr,0.12071050105217673
aVF_q25,0.10662101651577038
QTInterval,0.10551238023972509
III_q25,0.10445014837359046
aVL_q25,0.1012690234743936
V1_q75,0.10049635914511224
V6_q25,0.10047654979859488
III_iqr,0.09523345500244229
V2_median,0.08706903526784515
II_q25,0.08527729336038692
V1_kurtosis,0.08218481050624238
aVL_iqr,0.08027638585492869
V1_median,0.07938250124086776
V3_median,0.07918769338661424
II_median,0.07796976782851983
III_q75,0.0764770672673265
PatientAge,0.06950427083273114
V5_iqr,0.0693607254356543
V3_std,0.06886382912340938
V6_median,0.06825747614598376
aVR_median,0.06755751407974508
aVR_q75,0.06555063993917232
V4_min,0.06554544039023447
V3_mean,0.064960654933788
V2_mean,0.06470513522315402
aVL_q75,0.06297799071064603
I_q25,0.061848424981215455
aVF_median,0.06171893376797821
V4_median,0.0612157162371163
V5_std,0.06116780816026468
V6_kurtosis,0.06116404594294789
V6_iqr,0.06092082645408903
V5_kurtosis,0.059473986963428205
QTCorrected,0.05885892076214505
V5_median,0.058561932371988146
V4_iqr,0.05811455817098121
V5_q75,0.05749090778736443
aVR_q25,0.056496075697585635
III_median,0.05644251990531268
III_kurtosis,0.05519179798977114
V3_min,0.05427516817213762
V5_rms,0.05397911580278558
V5_energy,0.05369499774876507
V3_energy,0.05338078627763454
V3_rms,0.05318592426988311
V4_rms,0.05318001901692471
V4_energy,0.05316176153534946
V6_std,0.05124477009449091
V3_iqr,0.04977639537961287
V1_skew,0.049568390361190096
V4_std,0.04940088941129206
V6_q75,0.04938101621615054
V5_min,0.048862067923954644
V6_energy,0.048264420671016106
V6_rms,0.0479868012282052
aVL_kurtosis,0.04662423487598222
V4_kurtosis,0.04625439318366453
V2_iqr,0.045199264844494325
V4_skew,0.04505880710618437
I_median,0.04395009195580668
V5_skew,0.04119717430492842
V3_range,0.039571536622924564
V4_mean,0.039216402753728286
aVL_median,0.03902618836691163
I_skew,0.03845401589090036
V2_std,0.03813019335026202
aVF_kurtosis,0.03812122772427995
II_mean,0.03777535068062887
aVF_iqr,0.0348251185633921
aVR_kurtosis,0.034079464086575806
II_kurtosis,0.03374028933103923
V2_rms,0.03316700865043565
V2_energy,0.03290098594573898
V6_skew,0.03245530638232674
I_mean,0.031151733002317883
aVR_mean,0.031031646186022277
aVL_mean,0.030740130885335004
III_skew,0.030666646849070167
V5_range,0.02892635402337773
V3_skew,0.0286536480990216
I_q75,0.028598566724858276
V1_mean,0.028558799946711177
aVR_iqr,0.02850138351404241
I_kurtosis,0.028204186414224397
aVF_mean,0.028051296739921794
V4_q75,0.02794773581544918
I_iqr,0.027237701622771615
V6_mean,0.02633691253918924
II_skew,0.026046441419734334
aVR_skew,0.025871788574140187
V6_min,0.025251902070114962
aVR_std,0.025251754855256214
III_std,0.02488419737532821
V6_range,0.024468073734969176
aVF_skew,0.02414748959550783
aVL_skew,0.02414546336571255
aVR_energy,0.023857943207209464
aVR_rms,0.023839975567428784
V2_min,0.023573092105928062
V3_kurtosis,0.02319099117553569
aVF_std,0.023108333717276608
aVL_rms,0.02190750996316071
V3_max,0.021703543388499558
III_range,0.021550934576435088
aVL_energy,0.02149330944616845
V2_max,0.021424705041707792
III_rms,0.021265163495034267
III_energy,0.02115968604334406
V1_energy,0.021038056674752115
V5_mean,0.0210292359711437
V1_max,0.021026936789233952
V1_rms,0.02086442542182354
aVF_q75,0.020804887858775434
II_rms,0.02047547670369898
II_energy,0.020471579071525747
aVF_rms,0.02028088088995328
aVF_energy,0.020048427791294454
I_min,0.020027571270730293
V3_q75,0.019416045563648288
II_iqr,0.01941456086310467
II_q75,0.019257942891283353
aVL_std,0.01874550036654865
aVF_min,0.01822891000979232
V2_kurtosis,0.017585871605115155
V1_min,0.017533325456847937
V4_max,0.01608060583334936
V4_range,0.016057074920796444
aVR_min,0.016013129266571724
II_max,0.015988561461825812
III_mean,0.015527708855823219
aVF_range,0.015523397136427475
aVL_min,0.015248182256771159
aVL_range,0.014631091450920897
aVR_range,0.014505038822507199
V6_max,0.013612842770549971
II_min,0.01346873838014151
QRSDuration,0.012690863489473125
II_std,0.012393956523358618
V1_std,0.011973890693713019
II_range,0.010982850114593878
V5_max,0.01081979052951687
I_range,0.01060528227055757
I_std,0.010557332864264968
aVF_max,0.010486048468071996
V2_range,0.009735599373105197
I_energy,0.00962206728444892
I_rms,0.009543451747808795
aVR_max,0.008799991379196737
V2_q75,0.008101220952131838
V1_range,0.007469305480206412
V2_skew,0.005997092793974312
I_max,0.00597951668414165
III_max,0.004580008795722401
aVL_max,0.0034204160694080166
III_min,0.0028724934179418238
Gender,0.0
