Feature,Score/Rank
aVR_std,1
aVR_median,1
aVR_q75,1
aVR_rms,1
aVF_mean,1
V2_std,1
V2_rms,1
V4_std,1
V4_rms,1
VentricularRate,1
I_energy,2
II_mean,2
II_std,2
II_median,2
III_range,2
aVR_iqr,2
aVR_energy,2
aVL_mean,2
aVL_max,2
aVL_q25,2
aVL_energy,2
aVF_max,2
aVF_median,2
aVF_energy,2
V1_std,2
V1_iqr,2
V1_rms,2
V1_energy,2
V2_energy,2
V4_max,2
V5_mean,2
V6_median,2
PatientAge,2
AtrialRate,2
QRSDuration,2
I_mean,3
I_rms,3
II_rms,3
III_mean,3
III_std,3
III_median,3
aVR_mean,3
aVR_skew,3
aVL_std,3
aVL_min,3
aVL_median,3
aVL_q75,3
aVF_std,3
V1_mean,3
V1_range,3
V1_q75,3
V2_median,3
V3_median,3
V3_range,3
V3_q25,3
V3_kurtosis,3
V4_kurtosis,3
V4_energy,3
V5_median,3
V5_range,3
V5_q25,3
V5_q75,3
V5_iqr,3
V5_rms,3
V5_energy,3
V6_std,3
V6_q25,3
I_std,4
I_min,4
I_max,4
I_range,4
I_skew,4
II_max,4
II_q75,4
II_energy,4
III_max,4
III_q75,4
III_rms,4
III_energy,4
aVR_min,4
aVR_q25,4
aVL_skew,4
aVF_range,4
aVF_q75,4
V1_min,4
V1_q25,4
V1_kurtosis,4
V2_min,4
V2_max,4
V2_q75,4
V2_kurtosis,4
V3_std,4
V3_max,4
V3_skew,4
V4_min,4
V4_range,4
V6_range,4
V6_kurtosis,4
QTInterval,4
I_median,5
I_kurtosis,5
II_min,5
II_range,5
II_q25,5
II_iqr,5
II_skew,5
III_q25,5
III_skew,5
aVR_range,5
aVR_kurtosis,5
aVL_iqr,5
aVL_kurtosis,5
V1_max,5
V1_median,5
V1_skew,5
V2_mean,5
V2_q25,5
V2_iqr,5
V3_min,5
V3_q75,5
V3_iqr,5
V3_rms,5
V3_energy,5
V4_q75,5
V4_iqr,5
V5_std,5
V5_max,5
V6_max,5
V6_q75,5
V6_iqr,5
V6_skew,5
I_q25,6
I_q75,6
I_iqr,6
II_kurtosis,6
III_min,6
III_iqr,6
III_kurtosis,6
aVR_max,6
aVL_range,6
aVL_rms,6
aVF_min,6
aVF_q25,6
aVF_iqr,6
aVF_skew,6
aVF_kurtosis,6
aVF_rms,6
V2_range,6
V2_skew,6
V3_mean,6
V4_mean,6
V4_median,6
V4_q25,6
V4_skew,6
V5_min,6
V5_skew,6
V5_kurtosis,6
V6_mean,6
V6_min,6
V6_rms,6
V6_energy,6
Gender,6
QTCorrected,6
