Feature,Score/Rank
AtrialRate,0.08631012275994822
VentricularRate,0.06555646921392669
aVR_median,0.029677178269243525
V1_q25,0.028445998982979913
QTInterval,0.02722412559041152
aVR_q25,0.026291523814924337
II_median,0.02589292425833554
PatientAge,0.024490721361297724
V3_q25,0.022782930938562877
aVR_iqr,0.022534006539345505
V4_q25,0.019247115347072245
II_q75,0.017454042326506568
V1_q75,0.016488101961665932
aVF_median,0.016000435873491634
V1_kurtosis,0.015577280735832517
aVF_q25,0.014650214878702711
V1_iqr,0.014137428265489754
V5_q25,0.013197361628308233
V2_q25,0.012752271776279977
aVL_q25,0.012552503182348138
III_q25,0.012401072652277212
I_median,0.011087624663382041
V1_median,0.010558187858295017
QTCorrected,0.010129334996714564
V5_iqr,0.00998633389413749
II_iqr,0.009819859263420458
I_q75,0.008920485925074429
V3_mean,0.008652508898900206
aVR_q75,0.007844735381517509
V6_q25,0.0076072984948783486
V6_median,0.007195449687003127
II_q25,0.006838126493439987
III_median,0.006689077918806147
III_iqr,0.006056728625756397
V5_q75,0.0057873978534656
V2_median,0.005438765654204365
V2_mean,0.005283268890703923
V3_std,0.005254087072196423
I_iqr,0.005108891747734787
V6_kurtosis,0.0050921179176171005
V5_kurtosis,0.004995068118044102
V1_skew,0.0048993066283271654
V3_energy,0.004894434895359467
V3_min,0.0046715905198287016
V3_rms,0.004660341091106224
V3_median,0.0045885590671191825
V4_iqr,0.004587192705819088
V4_min,0.004565346655626354
V5_std,0.0044581863659469
V6_rms,0.004356953876992088
V6_q75,0.004316453615405156
V5_min,0.004145056767497198
V5_energy,0.004141353508919727
V6_iqr,0.004026074224626059
V5_median,0.003985654755123389
V6_energy,0.00397194789723175
aVL_iqr,0.003848911472125978
V4_kurtosis,0.003826655120361366
III_q75,0.003805538390452259
I_kurtosis,0.003738761137735196
V1_mean,0.0036374945136915886
V1_energy,0.0036315327068569326
V1_min,0.0035900200891548334
I_mean,0.0035559971138596326
V4_skew,0.0034598895914191253
V3_skew,0.003385969110187478
I_q25,0.0033255178337650766
aVF_q75,0.003324348888976211
V4_median,0.003308068375086709
V6_std,0.0032723312366618566
aVR_std,0.0032696161224827812
aVR_rms,0.0032256028424637383
V4_mean,0.0031968747446606592
V1_range,0.003178559414715894
I_max,0.0031135194526925756
aVL_q75,0.0030684936378712756
III_kurtosis,0.002999216476081654
aVL_median,0.002972335479252202
aVF_iqr,0.002924004487560659
aVR_energy,0.0029197836170592752
aVR_range,0.0029174462706161425
V1_std,0.002912816037139504
aVF_skew,0.0028995452154484953
V3_kurtosis,0.0028901501954708337
V1_rms,0.0028527548484131846
V2_max,0.0028391079927944044
V4_std,0.0028379213197311103
I_skew,0.0028322890751813516
V5_mean,0.0028011140910561287
V5_skew,0.00278357111638808
V2_kurtosis,0.0027753015165866124
aVR_mean,0.002720285375111415
V5_rms,0.002717801141915715
V4_rms,0.002701067213724787
V4_range,0.002700344762183768
V1_max,0.0026857297413035676
aVR_kurtosis,0.002660063180638309
II_rms,0.002618629546784768
V6_min,0.002606503804500748
V4_energy,0.002602152842130801
V6_skew,0.002562459394965494
V2_iqr,0.002559363750791221
V4_q75,0.002547644649626467
II_skew,0.002454658077883718
II_min,0.0024393970881446247
aVR_skew,0.0024100381749359444
aVF_kurtosis,0.0024002700756357133
V6_mean,0.0023824240543204736
V5_range,0.0023637048719474625
V6_range,0.0023547138936618477
QRSDuration,0.0023502533307248777
II_mean,0.0023214399823061112
V6_max,0.002300827043903479
V5_max,0.0022920748733439985
aVR_max,0.0022635912083699707
II_kurtosis,0.0022619919165381215
V3_iqr,0.002253323768785371
V2_q75,0.002223448121637828
aVF_min,0.0022117568841986844
aVF_range,0.0021933354317124555
V4_max,0.002170343635354826
aVL_kurtosis,0.002156066435006941
I_energy,0.002139774404005325
aVR_min,0.0021360778723763874
I_range,0.002122610157921486
V3_range,0.0021174458716829332
aVL_energy,0.0021167570443660993
aVL_min,0.0020975117501643406
V2_std,0.00209370204741262
III_range,0.002081660459359852
V3_max,0.0020673386215705053
I_rms,0.002018647524158501
V2_energy,0.0020179032146664007
I_min,0.001978212756388932
III_rms,0.0019737792264964893
V2_skew,0.001961394901531058
V2_rms,0.0019502751232549325
V3_q75,0.001949543527914385
aVL_skew,0.0019167339586429893
aVL_max,0.0018804870222275554
aVL_mean,0.0018798651504943176
aVF_rms,0.0018622680196221403
V2_range,0.0018373388698998338
aVL_rms,0.0018267349667195766
aVF_max,0.0018078774461106845
III_energy,0.0018072048089593585
III_mean,0.0017856379782324348
V2_min,0.001775803117237592
II_std,0.001762072664278095
III_max,0.0017567360376519936
III_min,0.001686964676658511
aVF_energy,0.0016836400024358913
aVL_std,0.001646779171881613
aVF_mean,0.0016410175681055598
I_std,0.0016384987895115553
III_skew,0.0016090617055006
II_range,0.0016044927200438127
aVF_std,0.0016043225428186312
aVL_range,0.0016028774005742855
III_std,0.0015861716034276383
II_energy,0.0015788139627963566
II_max,0.0013919380163312295
Gender,0.00031963120330591173
